code,marketref,dem,demCGV,demBMR,demreg,lp_bl,ls_bl,lh_bl,tropicar,distcr,distc,distr,ginv,polity,polity2,landlock,yellow,oilres,goldm,iron,silv,zinc,mortality,imputedmort,logem4,excolony,lt100km,democ1,democ00a,cons00a,currentinst,imr95,leb95,malfal,uvdamage,suitavg,pdiv,pdiv_aa,pdivhmi,pdivhmi_aa,pd1,pd1000,pd1500,pd1500,pop1,pop1000,pop1500,legor_uk,legor_fr,temp,elevavg,elevstd,kgatr,precip,suitgini,area,abslat,cenlong,area_ar,rough,ln_yst,ln_yst_aa,africa,europe,asia,oceania,americas,pprotest,pcatholic,pmuslim,pother,population_initial,population_now,gdp_pc_initial,gdp_pc_now,capital_growth_pct_gdp_initial,capital_growth_pct_gdp_now,gdp_initial,gdp_now,investment_rate,gdp_growth,pop_growth,lgdp_initial,lpop_initial
BDI,,0.0,0.0,0.0,0.032258064,11.36534,0.9125627,0.1412006,1.0,1009.66,1009.66,1860.04,4.5307946,-7.0,-7.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,280.0,5.634789,,,3.0,0.0,1.0,159.0,,,1.0,272.0675,0.46,0.76127267,0.76129365,0.7630439,0.76307535,,11.916584,24.826216,24.826216,,306017.88,637537.25,0.0,1.0,20.730478,1.4060879,0.2276154,0.9689716,99.4659,0.20359,25680.0,3.5,30.0,9599.185,0.2555602,8.160519,8.155936,1.0,0.0,0.0,0.0,0.0,4.9,78.3,0.9,15.9,3479070.0,11890781.0,263.644252742783,202.372052445493,4.53079461935769,11.3778468451157,917236810.389835,2406361756.14988,10.887357681729874,-0.005275889744674189,0.024884545332415575,5.574600666925238,15.062275574656006
BEL,53.84356,1.0,1.0,1.0,0.95454544,65.29951,28.7,5.2,0.0,38.3926,123.756,53.2518,28.149338,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,,,33.0,,,0.0,70.60848,0.46,0.72987413,0.7300649,0.7161382,0.71649736,8.469791,11.293055,35.290794,35.290794,256041.8,341389.03,1066840.8,0.0,1.0,9.525276,0.12728001,0.1291754,0.0,70.29103,0.28729,30230.0,50.833332,4.0,8041.18,0.04324301,8.612503,8.619641,0.0,1.0,0.0,0.0,0.0,0.4,90.0,1.1,8.5,9655549.0,11555997.0,19807.7253917208,44361.24836481849,29.6566888191858,24.764055961198398,191254463098.304,512638453020.09796,23.67142021859254,0.016256609241316333,0.003599899067922241,9.893827311884628,16.08304333395786
BEN,4.545453,0.0,0.0,0.0,0.032258064,8.305782,2.1402247,0.29184884,1.0,352.174,355.202,617.711,11.592381,-2.0,-2.0,0.0,1.0,3930.0,0.0,0.0,0.0,0.0,,266.52,5.585449,,,4.0,0.0,1.0,175.0,,,1.0,259.7627,0.52,0.7442147,0.74344903,0.7322745,0.7311061,1.1814605,2.7567413,4.3320217,4.3320217,130693.164,304950.72,479208.25,0.0,1.0,27.753115,0.24441174,0.1046992,0.4423535,84.79923,0.09314,110620.0,9.5,2.25,23805.424,0.03980191,8.039157,8.039125,1.0,0.0,0.0,0.0,0.0,2.8,18.5,15.2,63.5,2912338.0,12123198.0,795.1564106568891,1273.5413171047,11.5923801456269,25.6338435081567,2315764230.6996603,15439393548.4411,15.784469555237969,0.00946486922043599,0.028933976736551514,6.678538838267613,14.884466752991518
BFA,14.285715,0.0,0.0,0.0,0.032258064,,,,1.0,731.845,732.248,960.376,10.270034,-4.0,-4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,280.0,280.0,5.634789,1.0,0.0,0.0,0.0,1.0,153.0,98.8,44.39,1.0,269.04742,0.35,0.7410299,0.7410299,0.72913665,0.72913665,1.1814605,2.7567413,4.3320217,4.3320217,323247.6,754244.44,1185241.1,0.0,1.0,28.639091,0.28544873,0.0390757,0.1176683,66.651634,0.25894,273600.0,13.0,-2.0,40410.723,0.03131196,7.972466,7.972466,1.0,0.0,0.0,0.0,0.0,1.6,9.0,43.0,46.4,5624592.0,20903278.0,307.53583949615603,815.480855632121,10.270033771264,,1729763622.54336,17046223028.9561,17.73999733873895,0.019695166533558073,0.026602854351270855,5.72859163166202,15.542658970090756
BGD,33.333332,,,,0.0,12.293732,6.1045923,0.56664735,0.42105263,41.1235,151.964,79.8286,11.344657,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,71.41,71.41,4.268438,1.0,0.401598,8.0,0.0,1.0,129.0,78.8,58.13,0.1786233,206.00635,0.77,0.7115537,0.71176815,0.71170145,0.7118373,8.775915,19.874866,25.811514,25.811514,1142360.9,2587111.2,3359884.8,1.0,0.0,24.894917,0.12466724,0.14970571,0.8674768,220.37149,0.18411,130170.0,24.0,90.0,80835.57,0.08250243,8.612503,8.623353,0.0,0.0,1.0,0.0,0.0,0.2,0.2,85.9,13.7,64232486.0,164689383.0,411.184392056864,1305.25933193765,11.3446569376759,31.53551760559,26411395706.211002,214962354031.804,18.470585404788938,0.023371230501764373,0.019009463807561744,6.019041756360412,17.978019653140116
BGR,0.0,0.0,0.0,0.0,0.037037037,65.16232,19.089005,6.476267,0.0,73.0677,158.608,118.595,,-7.0,-7.0,0.0,0.0,34.0,0.0,0.0,0.0,0.0,,,,0.0,,,,,66.0,,,0.0,111.669815,0.7,0.7425296,0.74250174,0.72930133,0.7294693,4.51957,7.231312,7.231312,7.231312,500000.0,800000.0,800000.0,0.0,0.0,10.918559,0.3721086,0.33425382,0.0,51.916183,0.12735,110630.0,43.0,25.0,35257.78,0.18819907,8.922658,8.925582,0.0,1.0,0.0,0.0,0.0,0.4,0.5,10.6,88.5,8489574.0,6927288.0,,8743.216992230871,,18.9607123505708,,60566782151.677,24.231977983616293,,-0.004059147852895184,,15.954349380350193
BHR,,,,,0.0,9.7,9.2,3.8,,,,,,,,0.0,0.0,131000.0,0.0,0.0,0.0,0.0,,,,1.0,,,,,42.0,,,,227.46628,,0.7410552,0.7412633,,,,0.88393885,0.88393885,0.88393885,,627.59656,627.59656,1.0,0.0,26.63046,0.0284068,0.0,,6.5210924,0.0,710.0,26.0,50.5,20.022,0.0327981,8.922658,8.945006,0.0,0.0,1.0,0.0,0.0,0.9,0.8,95.0,3.3,212607.0,1701583.0,,19018.554449692,,,,32361648936.1702,26.758688286386338,,0.04247467063622268,,12.267200670029979
BHS,33.333332,,,,0.8888889,,,,,,,,,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,85.0,85.0,4.442651000000001,1.0,,,,,77.0,,,,222.9253,,0.6233497,,,,0.44332135,0.88664275,1.329964,1.329964,4437.6465,8875.294,13312.94,1.0,0.0,25.05584,0.0048199,,,85.28277,,10010.0,24.25,-76.0,70.07,0.01352564,,,0.0,0.0,0.0,0.0,1.0,47.2,25.5,0.0,27.3,169376.0,393248.0,25196.2701523627,23971.1079949469,,,4267643453.3265796,9426590276.79686,25.24949012100159,-0.0009964372687860656,0.016989087793068514,10.134451252718103,12.039876374657714
BIH,,0.0,,0.0,0.037037037,,,,0.0,67.2865,136.692,104.18,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,126.0,,,0.0,105.45247,0.6,0.7393743,0.7393743,0.72579646,0.72579646,5.8895125,6.871098,8.83427,8.83427,301543.03,351800.22,452314.6,0.0,0.0,10.030246,0.5451188,0.3280153,0.0,91.39241,0.22394,51200.0,44.0,17.833332,9999.36,0.26658967,8.853665,8.853665,0.0,1.0,0.0,0.0,0.0,4.0,15.0,40.0,41.0,3760536.0,3280815.0,,6077.04356457794,,20.0199983983151,,19937655682.3208,23.59553464624735,,-0.0027256712601874122,,15.140072058397825
BLR,0.0,0.0,0.0,0.0,0.037037037,,,,0.0,46.7627,687.557,46.7627,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,58.0,,,0.0,62.24925,0.37,0.73552626,0.7352508,0.7338368,0.73444533,0.4192872,0.8385744,2.5157232,2.5157232,86993.71,173987.42,521962.25,0.0,0.0,6.159533,0.15818562,0.02362426,0.0,51.614815,0.13105,207480.0,53.0,28.0,61331.086,0.01741098,8.411833,8.424529,0.0,1.0,0.0,0.0,0.0,0.0,14.0,0.0,86.0,9040000.0,9398861.0,,6677.99892589229,,26.271716800674803,,62765583662.6109,30.28041062602699,,0.0007788899236871316,,16.01716973236836
BLZ,50.0,,,,0.8888889,78.6,7.9,1.4,1.0,25.4552,25.7268,1292.66,,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,163.3,5.095589,,,,,1.0,105.0,,,0.1,237.98526,0.57,0.6230438,0.68924326,0.62986684,0.6817749,0.58738303,1.1747661,1.5663548,1.5663548,13398.207,26796.414,35728.55,1.0,0.0,25.022453,0.2186459,0.19052811,1.0,161.76096,0.21982,22810.0,17.25,-88.75,640.961,0.14912485,8.101678,8.496565,0.0,0.0,0.0,0.0,1.0,13.2,66.8,0.0,20.0,122184.0,397621.0,1345.23508048953,3582.9781813196,,18.0894449373532,164366203.07453302,1424667367.4344802,21.54436340339407,0.01978570429993254,0.023880093633926514,7.204324057796622,11.713283384250282
BOL,61.48693,0.0,0.0,0.0,0.071428575,26.650803,15.971729,4.245973,1.0,453.98,743.672,623.248,16.385303,-5.0,-5.0,1.0,1.0,14300.0,0.0,0.0,0.0,0.0,71.0,71.0,4.2626800000000005,1.0,0.0,1.0,4.0,3.0,155.0,65.6,61.39,0.0113571,271.7995,0.36,0.58997166,0.62788653,0.5822535,0.6177861,0.2766558,0.5533116,0.8299674,0.8299674,300000.0,600000.0,900000.0,0.0,1.0,20.58424,1.2821325,1.453222,0.4729627,92.22411,0.44879,1084380.0,17.0,-65.0,29278.26,0.1836364,8.294049,8.490206,0.0,0.0,0.0,0.0,1.0,2.3,92.5,0.0,5.2,4484004.0,11673029.0,1399.5151863504,2345.48479359273,16.3880152292667,,6275431693.65595,27378912014.667004,17.353143669352793,0.010380835554108181,0.019319544452520265,7.2438811601652295,15.31602695523445
BRA,23.809525,0.0,0.0,0.0,0.071428575,46.0,9.6,2.0,0.9312326,315.764,683.278,610.338,20.542032,-9.0,-9.0,0.0,1.0,19400.0,2.0,0.1,0.0,1.0,71.0,71.0,4.2626800000000005,1.0,0.092516,1.0,1.0,3.0,130.0,42.4,66.78,0.0332967,245.50893,0.2,0.5814246,0.7152736,0.5552036,0.6899178,0.04728457,0.08274799,0.11821141,0.11821141,400000.03,700000.0,1000000.0,0.0,1.0,24.686508,0.30682787,0.2582925,0.8426988,150.54657,0.62272,8459420.0,10.0,-55.0,576086.5,0.07111247,8.160519,8.661652,0.0,0.0,0.0,0.0,1.0,4.0,87.8,0.1,8.1,95113265.0,212559409.0,4704.317561228189,10672.1777388753,20.5420321064948,15.4048651869991,447443002845.25,2268471792918.29,19.867256080975338,0.016518128876655602,0.016213090114300943,8.456235996064345,18.370579002541415
BRB,,1.0,1.0,1.0,0.875,33.6,64.1,1.2,,,,,26.115702,,,0.0,1.0,21000.0,0.0,0.0,0.0,0.0,,85.0,4.442651000000001,,,,,1.0,88.0,,,,270.02716,,0.6068399,,,,0.44332135,0.88664275,1.329964,1.329964,190.62817,381.25638,571.8845,1.0,0.0,26.0125,0.092,,,106.166664,,430.0,13.166667,-59.533333,160.00299,0.257,7.4383836,,0.0,0.0,0.0,0.0,1.0,33.2,5.9,0.2,60.7,238895.0,287371.0,,13249.4232194619,,,,3807500000.0,16.9032457944182,,0.003701833704498503,,12.383779403835776
BRN,,,,,0.0,28.1,16.5,3.1,1.0,33.5407,33.5407,1143.0,,,,,,,,,,,,,,,,,,,,,,0.0,274.60184,0.23,0.68064386,,,,,,,,,,,1.0,0.0,25.866446,0.3329661,0.120271794,1.0,242.8123,0.14286,5270.0,4.5,114.666664,90.117004,0.2867077,8.294049,,0.0,0.0,1.0,0.0,0.0,1.1,3.2,64.2,31.5,129530.0,437483.0,,32402.365659982002,,40.5532721583649,,14175484136.0259,25.812753242102993,,0.02464120424062699,,11.771667793524301
BTN,0.0,0.0,0.0,0.0,0.0,,,,0.0,136.476,506.893,136.476,,-10.0,-10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,1.0,148.0,,,0.4601328,254.11343,0.1,0.7131369,0.71364313,0.71658933,0.7168145,,,,,,,,1.0,0.0,11.383475,2.4242094,1.67523,0.0,139.10776,0.52169,47000.0,27.5,90.5,1400.6,0.5452158,8.612503,8.627033,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,95.0,297307.0,771612.0,,3007.6982807307695,,,,2320776085.79123,45.70501922659072,,0.01925740838809409,,12.602520553949502
BWA,,1.0,0.0,1.0,0.4,26.4,2.4,0.6,0.69481343,799.264,857.53,964.137,45.322697,6.0,6.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,1.0,,10.0,0.0,1.0,59.0,,,0.3615499,253.61638,0.05,0.7440633,0.7418576,0.7410252,0.7386865,,0.07194141,0.14388283,0.14388283,,40771.355,81542.71,1.0,0.0,21.345104,1.0228169,0.09897913,0.0066155,35.07948,0.38627,566730.0,22.0,24.0,3797.091,0.03103704,6.9077554,7.3547463,1.0,0.0,0.0,0.0,0.0,26.8,9.4,0.0,63.8,627714.0,2351625.0,744.924189918846,7306.50245849385,45.322697606961604,35.7654697931557,467599342.950718,17182153843.9556,30.542292543658217,0.04672343859174388,0.026767527102334876,6.613282454703619,13.34983992770514
CAF,0.0,0.0,0.0,0.0,0.032258064,11.090158,0.99927604,0.16273737,1.0,1175.28,1241.7,1504.49,17.983673,-7.0,-7.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,280.0,5.634789,,,0.0,0.0,1.0,185.0,,,1.0,277.82904,0.21,0.75707865,0.7558454,0.7541203,0.7529753,0.19119325,0.764773,1.529546,1.529546,119113.4,476453.6,952907.2,0.0,1.0,25.087095,0.5805652,0.1259936,0.9562671,113.51056,0.60174,623000.0,7.0,21.0,19313.0,0.04629206,8.006368,8.179803,1.0,0.0,0.0,0.0,0.0,50.0,33.1,3.2,13.7,1811157.0,4829764.0,601.917448461123,377.52736868607104,17.9836725059846,,1090167000.2025,1823368094.2947102,14.504699866143001,-0.009286159647074355,0.019810305246557025,6.400120307103686,14.409476425543097
CAN,50.461567,1.0,1.0,1.0,0.95454544,38.4,46.20776,13.992241,0.0,1466.67,1567.98,1690.72,21.519423,10.0,10.0,0.0,0.0,185000.0,4.0,7.0,13.0,15.0,16.1,16.1,2.778819,,0.021164,7.0,9.0,7.0,17.0,6.0,78.98,0.0,44.39338,0.06,0.6343793,0.7248683,0.655342,0.7162114,0.01099685,0.01099685,0.02199371,0.02199371,99999.97,99999.97,200000.02,1.0,0.0,-7.9294114,0.3764497,0.3955301,0.0,39.09186,0.85713,9093510.0,60.0,-96.0,458312.9,0.11372162,7.3132205,8.756751,0.0,0.0,0.0,0.0,1.0,29.6,46.6,0.6,23.2,21324000.0,38005238.0,,48617.0878945341,22.198841649025102,22.100386513803397,,1847703996298.69,22.70352458402419,,0.011624865487982472,,16.87534375692479
CHE,60.73016,1.0,1.0,1.0,0.95454544,48.68717,36.893364,9.452978,0.0,123.443,279.255,123.915,,10.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,,,28.0,,,0.0,90.68175,0.39,0.7324573,0.73256785,0.7186196,0.7190568,7.5,7.5,20.0,20.0,300000.0,300000.0,800000.0,0.0,0.0,6.8829594,1.0084252,0.62970424,0.0,93.590225,0.43939,40000.0,47.0,8.0,4128.0,0.37834188,8.612503,8.666217,0.0,1.0,0.0,0.0,0.0,43.2,52.8,0.3,3.7,6180877.0,8636896.0,,80132.425588101,,26.7030093943469,,692095426032.167,27.90304288604456,,0.006714100956912494,,15.636970728750802
CHL,26.492008,1.0,1.0,1.0,0.875,57.2,26.6,3.8,0.18587278,112.301,111.604,1532.05,19.204185,6.0,6.0,0.0,0.0,21700.0,0.0,0.0,0.0,0.0,68.9,68.9,4.2326559999999995,1.0,0.6601819999999999,1.0,5.0,7.0,37.0,12.8,74.94,0.0,162.58899,0.14,0.5787297,0.67198443,0.5741804,0.65961355,0.26709402,0.53418803,0.80128205,0.80128205,200000.0,400000.0,600000.0,0.0,1.0,8.458037,1.1267796,1.222497,0.0,95.09665,0.78216,748800.0,30.0,-71.0,19768.32,0.3566467,8.294049,8.70207,0.0,0.0,0.0,0.0,1.0,1.9,82.1,0.0,16.0,9783134.0,19116209.0,4552.25558836437,14050.1761838708,17.128288301460902,19.8233161499166,44535326423.2174,268586104417.696,20.332215754524675,0.022796192529755732,0.013487683734971556,8.423378122816091,16.096170440575648
CHN,0.0,0.0,0.0,0.0,0.0,33.306858,11.904527,1.002042,0.031915348,765.061,1090.58,871.236,29.024277,-8.0,-8.0,0.0,0.0,19800.0,0.0,5.0,0.0,3.0,,118.0,4.770685,0.0,,,,,91.0,,,0.0157621,164.60214,0.34,0.6987618,0.6987618,0.706246,0.706246,5.6821713,7.0759115,11.793186,11.793186,53000340.0,66000424.0,110000710.0,0.0,0.0,6.4549265,1.7335886,1.738993,0.0031027,49.430614,0.55619,9327480.0,35.0,105.0,1371139.5,0.23477879,9.1049795,9.1049795,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.4,97.6,818315000.0,1402112000.0,228.51534633607002,8405.18047349612,32.8694767118481,,186997535637.001,11785004404054.6,36.11837585757878,0.07476281816337593,0.010827954578787269,5.43160336928723,20.522757906015173
CIV,33.66133,0.0,0.0,0.0,0.032258064,5.886669,2.8361387,1.0761001,1.0,272.162,280.47,400.012,22.495653,-9.0,-9.0,0.0,1.0,7460.0,0.0,0.0,0.0,0.0,668.0,668.0,6.504288,1.0,0.17105599999999999,0.0,0.0,1.0,177.0,87.3,46.72,1.0,251.2374,0.3,0.7385822,0.74001354,0.7212721,0.724082,1.1814605,2.7567413,4.3320217,4.3320217,375704.44,876643.75,1377582.9,0.0,1.0,26.21883,0.28667793,0.1299153,1.0,114.9125,0.32792,318000.0,8.0,-5.0,31005.0,0.05116333,8.160519,8.174421,1.0,0.0,0.0,0.0,0.0,4.7,18.5,24.0,52.8,5102070.0,26378275.0,1940.4014751294299,1714.5406989877401,22.4956529301408,,9900064154.21359,45226626056.5907,16.64380575353649,-0.002471933066425125,0.0334036700526501,7.570650176590021,15.445156897699535
CMR,0.0,0.0,0.0,0.0,0.032258064,21.448267,3.2739508,0.21813726,1.0,405.651,453.531,729.264,16.027657,-7.0,-7.0,0.0,1.0,31900.0,0.0,0.0,0.0,0.0,280.0,280.0,5.634789,1.0,0.09824,0.0,0.0,1.0,161.0,74.4,54.73,1.0,264.02365,0.23,0.75121886,0.7502155,0.74432033,0.7427715,0.19119325,0.764773,1.529546,1.529546,88981.34,355925.38,711850.75,0.0,1.0,25.012573,0.5613708,0.2913535,0.9128441,129.9425,0.50697,465400.0,6.0,12.0,59617.742,0.11221094,8.006368,8.005067,1.0,0.0,0.0,0.0,0.0,18.1,35.0,22.0,24.9,6519754.0,26545864.0,930.9902622732599,1490.82964058637,16.0276563140363,23.800694714695396,6069827486.4171295,39575360886.1747,21.082725348379476,0.009461262057229192,0.028478726793874864,6.836248817795148,15.69034720312969
